timestamp,modelName,count
2026-03-23 00:00:00,iPhone 16,87359
2026-03-23 00:00:00,iPhone 17 Pro,79654
2026-03-23 00:00:00,iPhone 17 Pro Max,78341
2026-03-30 00:00:00,iPhone 13,136781
2026-03-30 00:00:00,iPhone 15,111979
2026-03-30 00:00:00,iPhone 16 Pro,110012
2026-03-30 00:00:00,iPhone 15 Pro,91479
2026-03-30 00:00:00,iPhone 14,90364
2026-03-30 00:00:00,iPhone 16 Pro Max,88896
2026-03-30 00:00:00,iPhone 16,86071
2026-03-30 00:00:00,iPhone 15 Pro Max,83698
2026-03-30 00:00:00,iPhone 17 Pro,79551
2026-03-30 00:00:00,iPhone 17 Pro Max,77671
2026-04-06 00:00:00,iPhone 13,134046
2026-04-06 00:00:00,iPhone 15,109894
2026-04-06 00:00:00,iPhone 16 Pro,109347
2026-04-06 00:00:00,iPhone 15 Pro,90148
2026-04-06 00:00:00,iPhone 14,89434
2026-04-06 00:00:00,iPhone 16 Pro Max,88700
2026-04-06 00:00:00,iPhone 16,86481
2026-04-06 00:00:00,iPhone 15 Pro Max,82959
2026-04-06 00:00:00,iPhone 17 Pro,79335
2026-04-06 00:00:00,iPhone 17 Pro Max,78540
2026-04-13 00:00:00,iPhone 13,132488
2026-04-13 00:00:00,iPhone 15,109167
2026-04-13 00:00:00,iPhone 16 Pro,107182
2026-04-13 00:00:00,iPhone 15 Pro,88471
2026-04-13 00:00:00,iPhone 14,87682
2026-04-13 00:00:00,iPhone 16 Pro Max,86217
2026-04-13 00:00:00,iPhone 16,85215
2026-04-13 00:00:00,iPhone 15 Pro Max,81225
2026-04-13 00:00:00,iPhone 17 Pro,79771
2026-04-13 00:00:00,iPhone 17 Pro Max,78597
2026-04-20 00:00:00,iPhone 13,123031
2026-04-20 00:00:00,iPhone 16 Pro,102175
2026-04-20 00:00:00,iPhone 15,101651
2026-04-20 00:00:00,iPhone 15 Pro,83409
2026-04-20 00:00:00,iPhone 16 Pro Max,83168
2026-04-20 00:00:00,iPhone 14,82764
2026-04-20 00:00:00,iPhone 16,78851
2026-04-20 00:00:00,iPhone 15 Pro Max,77779
2026-04-20 00:00:00,iPhone 17 Pro Max,76803
2026-04-20 00:00:00,iPhone 17 Pro,76275
2026-04-27 00:00:00,iPhone 13,85345
2026-04-27 00:00:00,iPhone 16 Pro,75264
2026-04-27 00:00:00,iPhone 15,72021
2026-04-27 00:00:00,iPhone 16 Pro Max,63894
2026-04-27 00:00:00,iPhone 15 Pro,61492
2026-04-27 00:00:00,iPhone 17 Pro Max,60307
2026-04-27 00:00:00,iPhone 15 Pro Max,58767
2026-04-27 00:00:00,iPhone 14,58330
2026-04-27 00:00:00,iPhone 17 Pro,57400
2026-04-27 00:00:00,iPhone 16,56329
